Blank,,Scan1,,Scan2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1006.997437,0.01955869235,1006.997437,0.09065711498,1006.997437,0.08812966943,
1005.996765,0.02189114317,1005.996765,0.08941744268,1005.996765,0.08997796476,
1004.995422,0.01750395074,1004.995422,0.08982064575,1004.995422,0.08757934719,
1003.993469,0.0173227191,1003.993469,0.09033637494,1003.993469,0.08912608773,
1002.990906,0.01811885834,1002.990906,0.08623991907,1002.990906,0.09028987586,
1001.987732,0.01661866345,1001.987732,0.09090347588,1001.987732,0.08723795414,
1000.983948,0.0186525397,1000.983948,0.08914966881,1000.983948,0.09146295488,
999.9795532,0.01834251918,999.9795532,0.08831717819,999.9795532,0.08961336315,
998.9744873,0.01795431226,998.9744873,0.09155652672,998.9744873,0.08630091697,
997.9688721,0.01617841609,997.9688721,0.09013412893,997.9688721,0.08905712515,
996.9625854,0.01754990406,996.9625854,0.08887923509,996.9625854,0.08911903203,
995.9556885,0.01632525027,995.9556885,0.09118989855,995.9556885,0.09085650742,
994.9482422,0.01625225693,994.9482422,0.09013397247,994.9482422,0.08894534409,
993.9401245,0.01526193321,993.9401245,0.08904568106,993.9401245,0.0897314623,
993.0574951,0.01749079861,993.0574951,0.08931631595,993.0574951,0.08900056034,
992.0482788,0.01475928817,992.0482788,0.09086920321,992.0482788,0.09051387012,
991.0383911,0.01627735794,991.0383911,0.0896390453,991.0383911,0.09129133075,
990.0279541,0.01512936875,990.0279541,0.08920558542,990.0279541,0.09086892009,
989.0168457,0.0177604612,989.0168457,0.08920380473,989.0168457,0.09036938846,
988.005127,0.01622973755,988.005127,0.08729352057,988.005127,0.08892694861,
986.9928589,0.0173247382,986.9928589,0.09104596078,986.9928589,0.08865821362,
985.9799194,0.01505110972,985.9799194,0.08755052835,985.9799194,0.09038921446,
984.9664307,0.01694422401,984.9664307,0.09317552298,984.9664307,0.0891123265,
983.9522705,0.01622154191,983.9522705,0.09210068733,983.9522705,0.08973279595,
982.937561,0.0165233016,982.937561,0.09036748111,982.937561,0.09025644511,
982.0491333,0.01782499626,982.0491333,0.0908735767,982.0491333,0.08800379932,
981.0332642,0.01659572311,981.0332642,0.08961553127,981.0332642,0.09009985626,
980.0167847,0.01613349468,980.0167847,0.08834620565,980.0167847,0.09067296982,
978.9996948,0.01631896012,978.9996948,0.08947898448,978.9996948,0.08977675438,
977.9820557,0.01798083261,977.9820557,0.09009800851,977.9820557,0.09141588956,
976.9637451,0.01738174632,976.9637451,0.09119935334,976.9637451,0.08904803544,
